7.03639	0.000000
19.7012	0.373841
32.3659	0.605794
45.0307	0.823702
57.6955	1.01410
70.3602	1.17950
83.0250	1.33053
95.6898	1.45754
108.355	1.57195
121.019	1.68000
133.684	1.77731
146.349	1.86230
159.014	1.94007
171.678	2.00174
184.343	2.05253
197.008	2.09331
209.673	2.12810
222.337	2.15109
235.002	2.15734
247.667	2.15697
260.332	2.14769
272.997	2.13603
285.661	2.11487
298.326	2.08343
310.991	2.04017
323.656	1.99209
336.320	1.93167
348.985	1.85685
361.650	1.77258
374.315	1.68127
386.980	1.57802
399.644	1.46453
412.309	1.34178
424.974	1.21105
437.639	1.06308
450.303	0.899905
462.968	0.721288
475.633	0.521185
488.298	0.270320
500.962	0.000000
